site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Grunigill,10004673,SS0698,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,07-Aug-03,HU288567,Shetland,Yes,Grunigill,"Brindister Voe, Vementry",,ZE2 9NT,,Shellfish,Seawater,Medium,428800,1156700,4a - South St Magnus Bay,Shetland,A J Walterson,Common mussel
"Rhuda Aird Beithe,",20002450,SS0077,N/A,N/A,Seawater Long Lines,1,,29-Nov-85,NM611603,Highland,Yes,Rudha Aird Beithe,"Glenborrodale, Acharacle",Argyll,PH36 4JP,,Shellfish,Seawater,Low,161100,760300,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,A.C. Bowker,N/A
Alladale Aquaponic Gardens,20001206,FS1345,N/A,N/A,Freshwater Tanks,4,5.9mx0.9m tanks,13-May-20,NH441895,Highland,No,Alladale Wilderness Reserve,Sutherland,Sutherland,IV24 3BS,,Fish,Freshwater,Low,244100,889500,Not in a management area,Highland,Alladale Wilderness Lodge & Reserve,N/A
Holywood Breeding Centre,10001859,FS0614,Atlantic Salmon,Broodfish,N/A,1,N/A,17-Jan-92,NX976782,Dumfries and Galloway,Yes,Holywood Breeding Centre,Holywood,,DG2 0RJ,,Fish,Freshwater,Medium,297600,578200,Not in a management area,Dumfries & Galloway,AquaGen Scotland Ltd,Atlantic Salmon
Milnholm Smolt Unit,10001864,FS0833,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,25-Nov-93,NS784876,Stirling,Yes,Swanswater Lodge,Sauchieburn,,FK7 9QB,,Fish,Freshwater,Low,278400,687600,Not in a management area,Central,Aqualife Services Ltd,Atlantic Salmon
Milnholm Hatchery,10001869,FS0305,Atlantic Salmon,Eggs (green or eyed),N/A,0,N/A,19-Feb-92,NS784876,Stirling,Yes,Milnholm Hatchery,Craigend Road,Auchenbowie ,FK7 9QN,01786 235038,Fish,Freshwater,Low,278400,687600,Not in a management area,Central,Aqualife Services Ltd,Atlantic Salmon
Ardfad,20002303,SS0334,N/A,N/A,Seawater Trestles or trays,0,,11-Oct-89,NM768196,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,Medium,176800,719600,,Strathclyde,Ardencaple Oysters D.C.,N/A
Site 1,10005286,SS0302,Flat or native oyster,Shellfish adults/saleable size,N/A,1,N/A,01-Dec-88,NM771194,Argyll and Bute,Yes,"Ardencaple Bay,",Oban,,-,,Shellfish,Seawater,High,177100,719400,16d - Seil Sound to Loch Craignish,Strathclyde,Ardencaple Oysters D.C.,Flat or native oyster
Loch nan Ceall,20002653,SS0712,N/A,N/A,Seawater Trestles or trays,250,,15-Jun-04,NM640863,Highland,Yes,Glen House,Inverness-shire,Inverness-shire,PH39 4NU,,Shellfish,Seawater,Low,164000,786300,Not in a management area,Highland,Arisaig Farms,N/A
Corr Eilean - Loch Beag,10004829,SS0746,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-Aug-05,NM726833,Highland,Yes,Loch Beag,West Lochaber,,-,,Shellfish,Seawater,Low,172600,783300,15c - Ailort,Highland,Arisaig Mussels,Common mussel
Eilean Dubh - Loch Ailort,10004827,SS0744,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,23-Aug-05,NM746816,Highland,Yes,Loch Ailort,West Locharber,,-,,Shellfish,Seawater,Low,174600,781600,15c - Ailort,Highland,Arisaig Mussels,Common mussel
Camus An Fhiasgain,10004831,SS0656,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,07-Mar-02,NM723799,Highland,Yes,Roshven,Lochailort,Lochaber,-,,Shellfish,Seawater,Low,172300,779900,15c - Ailort,Highland,Arisaig Mussels,Common mussel
Eilean Buidhe,10004832,SS0657,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,07-Mar-02,NM731792,Highland,Yes,Roshven,Lochailort,Lochaber,-,,Shellfish,Seawater,Low,173100,779200,15c - Ailort,Highland,Arisaig Mussels,Common mussel
Applecross Incubation Unit 2 (A2),10006580,FS1369,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,15-May-25,NG821404,Highland,New,N/A,,,,,Fish,Freshwater,High,182100,840400,,Highland,Bakkafrost Scotland,Atlantic Salmon
Applecross Smolt Ongrowing 1,10005370,FS1360,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,19-Jun-23,NG821403,Highland,Yes,Applecross,Kishorn,,IV54 8XF,,Fish,Freshwater,Medium,182100,840300,,Highland,Bakkafrost Scotland,Atlantic Salmon
Applecross Smolt Ongrowing 2,10005371,FS1361,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,19-Jun-23,NG821402,Highland,No,Applecross,Kishorn,,IV54 8XF,,Fish,Freshwater,Medium,182100,840200,,Highland,Bakkafrost Scotland,Atlantic Salmon
Applecross Smolt Unit 2,10005372,FS1362,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,19-Jun-23,NG821403,Highland,Yes,Applecross,Kishorn,,IV54 8XF,,Fish,Freshwater,Medium,182100,840300,,Highland,Bakkafrost Scotland,Atlantic Salmon
West Strome,10000882,FS1342,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,12-Mar-20,NG873360,Highland,Yes,Mid Strome,Lochcarron,Ross-shire,IV54 8YH,,Fish,Seawater,Medium,187300,836000,"14a - Carron, Kishorn, Alsh, Duich",Highland,Bakkafrost Scotland,Atlantic Salmon
Applecross Hatchery,10000780,FS1336,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,06-Jan-20,NG820404,Highland,Yes,Applecross,Kishorn,,IV54 8XF,,Fish,Freshwater,Medium,182000,840400,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
Applecross Incubation Unit,10000779,FS1333,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,17-Sep-19,NG820404,Highland,Yes,Applecross,Kishorn,,IV54 8XF,,Fish,Freshwater,High,182000,840400,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
Portree Outer,10000772,FS1318,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,19-Jun-18,NG511446,Highland,Yes,8A Lisgarry Place,Portree,,IV51 9BD,,Fish,Seawater,Medium,151100,844600,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Bakkafrost Scotland,Atlantic Salmon
Maaey,10000829,FS1315,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,21-May-18,NF880507,Western Isles,Yes,Kallin Shorebase,Grimsay,North Uist,HS6 5HY,,Fish,Seawater,Medium,88000,850700,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,Atlantic Salmon
