region,OBJECTID,site_ID,AUTHORIZATION_TYPE,company_person,Expiry Date of Lease/Permit/Licence,Cultivation Method,Site Size (HA),species,species_type
New Brunswick,4,MS-1178,Q09,Brantville Acquaculture Ltee.,"April 1, 2032","Bottom culture,Not Applicable,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,7,MS-0796,Q09,Joanne Cormier,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",9.47,,Shellfish
New Brunswick,9,MS-0034,Q09,Fernand Poirier and Jason Poirier,"April 1, 2032",Bottom culture,0.81,,Shellfish
New Brunswick,11,MS-0623,Q09,Etienne Beaudin,"April 1, 2032","Bottom culture,Not Applicable",16.11,,Shellfish
New Brunswick,14,MS-0755,Q09,Pêcheries Nicholas C. Ltée,"March 1, 2032",Bottom culture,8.13,,Shellfish
New Brunswick,16,MS-1292,Q09,"Clarence Poirier,Andréa Doiron","April 1, 2032",Bottom culture,4.68,,Shellfish
New Brunswick,18,MS-0323,Q09,Armel Guignard,"April 1, 2032",Bottom culture,1.62,,Shellfish
New Brunswick,21,MS-0939,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2033",Bottom culture,4.85,,Shellfish
New Brunswick,23,MS-1200,Q09,King Aquaculture Inc.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",7.98,,Shellfish
New Brunswick,25,MS-1227,Q09,Sylvain Benoit et Aldrice Benoit,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",3.6,,Shellfish
New Brunswick,27,MS-1218,Q09,Vernon Thibodeau et Jessica Thibodeau,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",2,,Shellfish
New Brunswick,29,MS-0103,Q09,Raoul Gaudet,"April 1, 2033",Bottom culture,3.32,,Shellfish
New Brunswick,31,MS-0648,Q09,Émile Basque,"April 1, 2033",Bottom culture,3.28,,Shellfish
New Brunswick,33,MS-0367,Q09,Philippe Breau,"April 1, 2044",Bottom culture,4.86,,Shellfish
New Brunswick,35,MS-0709,Q09,Denis Doiron,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",21.09,,Shellfish
New Brunswick,37,MS-1296,Q09,Archie Allain,"April 1, 2043",Bottom culture,2.59,,Shellfish
New Brunswick,38,MS-1007,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",22.02,,Shellfish
New Brunswick,40,MS-0930,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",12.4,,Shellfish
New Brunswick,42,MS-1193,Q09,Eric Doiron,"April 1, 2033",Bottom culture,3.76,,Shellfish
New Brunswick,43,MS-0100,Q09,L2 - Recherche & Production Aquacole Inc.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",18.38,,Shellfish
New Brunswick,45,MS-0698,Q09,L2 - Recherche & Production Aquacole Inc.,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",24.3,,Shellfish
New Brunswick,48,MS-0112,Q09,Eymard Noël et Rose-Mai Noël,"April 1, 2033",Bottom culture,2.43,,Shellfish
New Brunswick,51,MS-1315,Q09,Gaëtan Duguay,"April 1, 2034",Bottom culture,3.24,,Shellfish
New Brunswick,55,MS-1046,Q09,Zoël McLaughlin et Stéphane McLaughlin,"April 1, 2044","Bottom culture,Off-bottom culture,Suspended culture",13.8,,Shellfish
New Brunswick,56,MS-0827,Q09,Émile Basque,"April 1, 2024",Bottom culture,2.28,,Shellfish
New Brunswick,60,MS-1217,Q09,Martial Thibodeau et Sabine Thibodeau,"April 1, 2044","Bottom culture,Off-bottom culture,Suspended culture",4,,Shellfish
New Brunswick,62,MS-1212,Q09,Brantville Acquaculture Ltee.,"April 1, 2044","Bottom culture,Off-bottom culture,Suspended culture",11.14,,Shellfish
New Brunswick,65,MS-1265,Q11,Brantville Acquaculture Ltee.,"April 1, 2026","Bottom culture,Off-bottom culture",6.7,,Shellfish
New Brunswick,66,MS-0240,Q09,Little Shemogue Oyster Company LTD.,"April 1, 2025",Bottom culture,5.87,,Shellfish
New Brunswick,68,MS-0115,Q09,Huître M.D. Oysters Inc.,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",5.1,,Shellfish
New Brunswick,70,MS-1184,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2025",Bottom culture,2.42,,Shellfish
New Brunswick,78,MS-1186,Q09,Alvain Thibodeau,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",2.43,,Shellfish
New Brunswick,81,MS-0621,Q09,R.M.L. PECHE LTEE,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",1.21,,Shellfish
New Brunswick,83,MS-0573,Q09,Michel Doiron,"April 1, 2025",Bottom culture,0.78,,Shellfish
New Brunswick,90,MS-1322,Q09,LCJ Oyster Aquaculture Inc.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",10.25,,Shellfish
New Brunswick,92,MS-1323,Q09,Bouctouche Bay Oysters Inc.,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",10.25,,Shellfish
New Brunswick,93,MS-0636,Q09,Nicholas Savoie,"April 1, 2026",Bottom culture,1.09,,Shellfish
New Brunswick,95,MS-0745,Q09,Donald Caissie,"April 1, 2026",Bottom culture,11.5,,Shellfish
New Brunswick,97,MS-0759,Q09,Donald Caissie,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",13.6,,Shellfish
New Brunswick,101,MS-0220,Q09,Alvain Thibodeau,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",4.05,,Shellfish
New Brunswick,103,MS-0832,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",1.21,,Shellfish
New Brunswick,106,,Q09,Jason MacKnight,"April 1, 2025",Not Applicable,2.42,,Shellfish
New Brunswick,109,MS-1366,Q09,LeBlanc Oyster Bay Ltd.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",1.7,,Shellfish
New Brunswick,112,MS-1330,Q09,Mauril Bastarache,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",11.25,,Shellfish
New Brunswick,114,MS-1116,Q09,Michel Dignard,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",7,,Shellfish
New Brunswick,118,MS-0073,Q09,Marcel LeBlanc,"April 1, 2026",Bottom culture,6.07,,Shellfish
New Brunswick,120,MS-0382,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",29.76,,Shellfish
New Brunswick,122,MS-1188,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",25.77,,Shellfish
New Brunswick,124,MS-1057,Q09,Nicholas Savoie,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",2.75,,Shellfish
New Brunswick,128,MS-0327,Q09,Gabriel Plourde,"April 1, 2026",Bottom culture,4.05,,Shellfish
New Brunswick,132,MS-0075,Q09,Jean-Marcial Comeau & Analiza Comeau,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",2.75,,Shellfish
New Brunswick,134,MS-1337,Q09,J&S Oysters Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",8.2,,Shellfish
New Brunswick,135,MS-0091,Q09,Pêcheries Thibodeau et Fils Ltée,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",5.24,,Shellfish
New Brunswick,138,MS-1199,Q11,Pêcheries Thibodeau et Fils Ltée,"April 1, 2025","Bottom culture,Off-bottom culture",2.5,,Shellfish
New Brunswick,139,MS-1236,Q09,King Aquaculture Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,140,MS-0235,Q09,Guy Breault,"April 1, 2026",Bottom culture,1.21,,Shellfish
New Brunswick,144,MS-1371,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",12.32,,Shellfish
New Brunswick,150,MS-0489,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",4.45,,Shellfish
New Brunswick,152,MS-1177,Q09,Conchyliculture Gloucester Shellfish Company Inc.,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",5.95,,Shellfish
