# Section: Map of Marine finfish aquaculture facilities in British Columbia
# Caption: Marine finfish aquaculture facilities in British Columbia
# Rows: 65
"Facility reference number","Licence type","Licence holder","Facility common name","Licensed species","Latitude","Longitude","Aquaculture management unit"
"112","Marine finfish","Golden Eagle Sable Fish Inc.","Centre Cove","Sablefish (Anoplopoma fimbria)","50.01736","-127.19165","Kyuquot Sound"
"144","Marine finfish","Mowi Canada West","Koskimo","Atlantic Salmon (Salmo salar)","50.45861","-127.88988","Quatsino Sound"
"169","Marine finfish","Cermaq Canada Ltd","Barkley","Atlantic Salmon (Salmo salar)","48.9431","-124.98704","Barkley Sound"
"224","Marine finfish","Cermaq Canada Ltd","San Mateo","Atlantic Salmon (Salmo salar)","48.93938","-124.99239","Barkley Sound"
"227","Marine finfish","Cermaq Canada Ltd","Bawden","Atlantic Salmon (Salmo salar)","49.309053","-126.007418","Clayoquot Sound"
"233","Marine finfish","Creative Salmon Company Ltd.","Indian Bay","Chinook Salmon (Oncorhynchus tshawytscha)","49.11916","-125.72549","Clayoquot Sound"
"234","Marine finfish","Cermaq Canada Ltd","Dixon Bay","Atlantic Salmon (Salmo salar)","49.405","-126.15055","Clayoquot Sound"
"244","Marine finfish","Creative Salmon Company Ltd.","Eagle Bay","Chinook Salmon (Oncorhynchus tshawytscha)","49.12945","-125.71093","Clayoquot Sound"
"270","Marine finfish","Omega Pacific Seafarms Inc.","Jane Bay","Sablefish (Anoplopoma fimbria)","49.00306","-125.15692","Barkley Sound"
"314","Marine finfish","Cermaq Canada Ltd","Ross Pass","Atlantic Salmon (Salmo salar)","49.32437","-126.04849","Clayoquot Sound"
"456","Marine finfish","622335 British Columbia Ltd.","Doctor Bay","Chinook Salmon (Oncorhynchus tshawytscha)","50.2521","-124.81957","Discovery Islands"
"520","Marine finfish","Cermaq Canada Ltd","Bedwell","Atlantic Salmon (Salmo salar)","49.26548","-125.81247","Clayoquot Sound"
"526","Marine finfish","Cermaq Canada Ltd","Rant Point","Atlantic Salmon (Salmo salar)","49.2567","-125.84153","Clayoquot Sound"
"540","Marine finfish","Cermaq Canada Ltd","Fortune Channel","Atlantic Salmon (Salmo salar)","49.23503","-125.75174","Clayoquot Sound"
"543","Marine finfish","Cermaq Canada Ltd","Mussel Rock","Atlantic Salmon (Salmo salar)","49.25925","-125.86762","Clayoquot Sound"
"706","Marine finfish","Mowi Canada West","Hardy Bay","Atlantic Salmon (Salmo salar)","50.73446","-127.44641","Port Hardy"
"776","Marine finfish","Creative Salmon Company Ltd.","Baxter Islets","Chinook Salmon (Oncorhynchus tshawytscha)","49.13299","-125.78289","Clayoquot Sound"
"831","Marine finfish","Mowi Canada West","Shelter Pass","Atlantic Salmon (Salmo salar)","50.88414","-127.5004","Port Hardy"
"892","Marine finfish","Mowi Canada West","Bell Island","Atlantic Salmon (Salmo salar)","50.83242","-127.52057","Port Hardy"
"1078","Marine finfish","Grieg Seafood BC Ltd.","Lutes Creek","Atlantic Salmon (Salmo salar)","49.88622","-126.76977","Esperanza Inlet"
"1079","Marine finfish","Grieg Seafood BC Ltd.","Steamer","Atlantic Salmon (Salmo salar)","49.8876","-126.79088","Esperanza Inlet"
