# Section: Map of shellfish aquaculture in British Columbia
# Caption: Shellfish aquaculture facilities in British Columbia
# Rows: 462
"Facility reference number","Licence type","Licence holder","Facility common names","Latitude","Longitude"
"2","Shellfish facility","Toan Van Tran","Denman Island, Baynes Sound","49.54496","-124.83593"
"3","Shellfish facility","Mac's Oysters Ltd.","Narrows Inlet, Sechelt","49.69300","-123.80454"
"4","Shellfish facility","Roderick S. Vowles, Wayne D. Vowles and Holly L. Vowles","Metcalf Bay, Denman Island, Baynes Sound","49.49993","-124.76595"
"5","Shellfish facility","Darrin Nelson Szaszik","Decourcy Island","49.10550","-123.74360"
"6","Shellfish facility","Village Bay Mariculture Ltd.","Village Bay, Quadra Island","50.15617","-125.19375"
"8","Shellfish facility","Frederick Lee Grauer","Lennies Lagoon, Lasqueti Island","49.51115","-124.29620"
"9","Shellfish facility","Frederick Lee Grauer","Unnamed Bay S.of West Point, Lasqueti Is","49.51267","-124.29296"
"10","Shellfish facility","Raincoast Sea Farms Ltd.","Denman Island, Baynes Sound","49.56765","-124.84301"
"11","Shellfish facility","Raincoast Sea Farms Ltd.","Comox Harbour","49.66978","-124.94678"
"12","Shellfish facility","Raincoast Sea Farms Ltd.","Denman Island, Baynes Sound","49.58348","-124.84495"
"13","Shellfish facility","Raincoast Sea Farms Ltd.","Denman Island, Baynes Sound","49.56463","-124.84321"
"15","Shellfish facility","Paradise Oyster Company Ltd.","Deep Bay, Baynes Sound","49.46287","-124.74888"
"18","Shellfish facility","Strategic Shellfish Ltd.","Lambert Channel, Hornby Island","49.53108","-124.71148"
"20","Shellfish facility","Allan Morrison","Burgoyne Bay, Saltspring Island","48.78903","-123.51841"
"22","Shellfish facility","Islanders Eco Service Ltd.","Bird Cove, Evans Bay, Read Island","50.20411","-125.09156"
"23","Shellfish facility","Islanders Eco Service Ltd.","Burdwood Bay, Read Island","50.17323","-125.09349"
"24","Shellfish facility","Islanders Eco Service Ltd.","Evans Bay, Read Island","50.20024","-125.07523"
"25","Shellfish facility","Kelly Steeve","Burdwood Bay, Read Island","50.16707","-125.09874"
"26","Shellfish facility","Subtle Island Enterprises Inc.","Subtle Islands, W. Cortes Island","50.11902","-125.07889"
"27","Shellfish facility","Barnacle Bill’s Shellfish Co.","Gorge Harbour, Cortes Island","50.10142","-125.03463"
"29","Shellfish facility","1363643 BC Ltd","Okeover Inlet","50.00425","-124.70519"
"32","Shellfish facility","Abrupt Shellfish Inc.","Scott Island","48.97398","-123.69336"
"33","Shellfish facility","Bonne Le, Ai Thuy Tran and Tuan Anh Le","Baynes Sound","49.48742","-124.79402"
"36","Shellfish facility","Teakerne Arm Shellfish Corp.","NW Teakerne Arm","50.18882","-124.86717"
"38","Shellfish facility","Tuan Van Tran and Cong Thanh Ta","Useless Inlet, Barclay Sound","48.99381","-125.05661"
"41","Shellfish facility","Minh Van Nguyen","Denman Island, Baynes Sound","49.53762","-124.82725"
"42","Shellfish facility","Xiu Mei Guo and Zhanbing Guo","Denman Island, Baynes Sound","49.53274","-124.81848"
"45","Shellfish facility","EAS Aquaculture Ltd.","Denman Island, Baynes Sound","49.49543","-124.76236"
"46","Shellfish facility","Trinity Aquaculture Inc.","Denman Island, Baynes Sound","49.49111","-124.75996"
"48","Shellfish facility","Spartan Oyster Ltd.","Burdwood Bay, Read Island","50.17530","-125.09079"
"50","Shellfish facility","Bertha Jeffery","Uganda Pass, Marina Island","50.08000","-125.03793"
"54","Shellfish facility","Vinh Duc Nguyen, Thi Hanh Pham and Phong Thanh Le","Denman Island, Baynes Sound","49.57560","-124.84144"
"59","Shellfish facility","Block 391 Shellfish Ltd.","Denman Island, Baynes Sound","49.48832","-124.75727"
"60","Shellfish facility","Jin Xian Huang, Van Dong Hang and Halong Oysters Ltd","Baynes Sound","49.52393","-124.80466"
"61","Shellfish facility","Lighthouse Shellfish Ltd.","Denman Island, Baynes Sound","49.51608","-124.79115"
"62","Shellfish facility","Wen Zhang","Denman Island, Baynes Sound","49.48201","-124.72535"
"63","Shellfish facility","Taylor Shellfish Canada ULC","Mud Bay, Baynes Sound","49.47052","-124.78135"
"64","Shellfish facility","C and C Shellfish Company Ltd.","Mud Bay, Baynes Sound","49.47672","-124.78893"
"65","Shellfish facility","Taylor Shellfish Canada ULC","Mud Bay, Baynes Sound","49.46934","-124.78950"
"66","Shellfish facility","Taylor Shellfish Canada ULC","Mud Bay, Baynes Sound","49.47054","-124.78582"
"67","Shellfish facility","Taylor Shellfish Canada ULC","Mud Bay, Baynes Sound","49.47137","-124.79018"
"68","Shellfish facility","Parasunny Aquaculture Inc.","Buckley Bay, Baynes Sound","49.55166","-124.86886"
"69","Shellfish facility","Big Rock Oyster Farm Ltd.","Buckley Bay, Baynes Sound","49.55405","-124.87006"
"72","Shellfish facility","Thi Hanh Pham","Denman Island, Baynes Sound","49.57244","-124.84296"
"73","Shellfish facility","Beech House Seafood Ltd.","Cortes Island","50.14004","-125.03165"
"74","Shellfish facility","D. Ritchie Holdings Ltd.","Whiterock Passage, Read Island","50.26684","-125.08159"
"75","Shellfish facility","Scott Akenhead and Laurel Lee Coatta","Ladysmith Harbour","48.98698","-123.77595"
"76","Shellfish facility","D. Ritchie Holdings Ltd.","Maurelle Island","50.24431","-125.11326"
"77","Shellfish facility","Ristol Seafarms Ltd.","Agamemnon Channel, Nelson Island","49.72008","-124.05536"
"80","Shellfish facility","Tien Xuan Phuong and Kim Thi Pham","Coulter Bay","50.13273","-125.04623"
"81","Shellfish facility","Joanne Mccoy and Dale Mccoy","West Cortes Island, Plunger Pass","50.11527","-125.07153"
"82","Shellfish facility","Ian D. Winter","Gorge Harbour, Cortes Island","50.09325","-125.00651"
"83","Shellfish facility","Lucky 8's Oyster Co. Ltd.","East Marina Island","50.07098","-125.03135"
"84","Shellfish facility","Lucky 8's Oyster Co. Ltd.","Marina Reef","50.03632","-125.05431"
