# Section: Map of landbased aquaculture in British Columbia
# Caption: Landbased aquaculture facilities in British Columbia
# Rows: 71
"Facility reference number","Licence type","Licence holder","Facility common name","Latitude","Longitude"
"47","Landbased facility","Mowi Canada West Inc.","Dalrymple Hatchery","50.26478","-125.82695"
"49","Landbased facility","Glenn Ruby","Silverbrook Farm","49.02680","-122.42720"
"79","Landbased facility","Mowi Canada West Inc.","Big Tree Creek Hatchery","50.23628","-125.76382"
"154","Landbased facility","Kootenay West Aqua Resources Ltd.","1km South of Winlaw","49.61700","-117.56700"
"164","Landbased facility","Island Scallops Ltd.","Island Scallops Hatchery","49.39128","-124.60150"
"180","Landbased facility","Cermaq Canada Ltd","Ocean Farm Hatchery","48.75975","-123.68102"
"199","Landbased facility","Kenneth E. Brown","Campbell L.[Demers L.] N. of Little Fort","54.56888","-128.65497"
"210","Landbased facility","Richard Henly","1km south of West Creek, Langley","49.15080","-122.53440"
"218","Landbased facility","John Heath","Yellow Island Aquaculture (1994) Ltd. Hatchery","50.13328","-125.31527"
"271","Landbased facility","Mowi Canada West Inc.","Freshwater Farms Hatchery","48.77053","-123.68555"
"275","Landbased facility","1195895 B.C. Ltd","Cedar, Unique Sea Farms Ltd.","49.10010","-123.80135"
"285","Landbased facility","Karl Eha","31474 Townshipline Avenue, Mission (Trout Creek Farm)","49.17830","-122.35327"
"317","Landbased facility","Cermaq Canada Ltd","White Duck Hatchery","49.48607","-124.80045"
"353","Landbased facility","Mowi Canada West Inc.","Georgie Lake Site 1","50.74605","-127.64805"
"387","Landbased facility","Paradise Trading Corporation","Lena Creek Hatchery","49.92123","-124.02142"
"445","Landbased facility","Creative Salmon Company Ltd.","Sea Spring Hatchery","48.87635","-123.70997"
"447","Landbased facility","Mowi Canada West Inc.","8470 Berray Road, Fanny Bay [United]","49.46105","-124.77112"
"457","Landbased facility","Saltstream Engineering Ltd.","Doctor Bay Hatchery","50.25200","-124.82200"
"504","Landbased facility","Omega Pacific Hatchery Inc.","Southern shore of Great Central Lake","49.33652","-125.12400"
"506","Landbased facility","Cermaq Canada Ltd","Little Bear Bay Hatchery","50.33807","-125.52272"
"585","Landbased facility","Northern Divine Aquafarms Ltd.","Gray Creek Hatchery","49.53687","-123.76280"
"640","Landbased facility","Grayden Chandler","1979 Impala Rd, N. of Sooke Rd.","48.40482","-123.60120"
"641","Landbased facility","John Neil Nickolichuk","Mountain Trout Sales","48.40722","-123.60245"
"667","Landbased facility","Sunshine Coast Salmonid Enhancement Society","Chapman Creek","49.44513","-123.71645"
"676","Landbased facility","Miracle Springs Inc.","Miracle Springs Inc.","49.22828","-122.24944"
"691","Landbased facility","Cermaq Canada Ltd","Boot Lagoon Hatchery","49.32375","-124.99102"
"703","Landbased facility","Mark Teasdale","Carbonate Creek, South of Golden","51.12862","-116.73863"
"1040","Landbased facility","Gavin A. Tims","23006 - 50th Avenue, Langley","49.09299","-122.58600"
"1111","Landbased facility","Mowi Canada West Inc.","Georgie Lake Site 2","50.74895","-127.68403"
"1128","Landbased facility","West Coast Fishculture (Lois Lake) Ltd.","Lois Lake, E. of Powell River","49.86477","-124.23068"
"1449","Landbased facility","Golden Eagle Aquaculture Ltd.","Golden Eagle Aquaculture Ltd.","49.24510","-121.78240"
"1456","Landbased facility","James McPike","23251 48th Ave, Langley","49.08948","-122.57849"
"1523","Landbased facility","Island Sea Farms Inc.","Trincomali Channel","48.89800","-123.51100"
"1582","Landbased facility","1195895 B.C. Ltd","Cedar, South of Nanaimo","49.10100","-123.80100"
"1594","Landbased facility","Harold Steven Atkinson","Taste of BC Aquafarms Inc.","49.17307","-124.03842"
"1602","Landbased facility","C.H.Baykey Ltd","Posby Lake","50.82167","-119.55333"
"1617","Landbased facility","Manatee Holdings Ltd.","Gartley Point","49.64195","-124.92403"
"1625","Landbased facility","Cedar Aquaculture Research & Development Ltd.","Cedar Aquaculture Research and Development Ltd","49.10010","-123.80135"
"1680","Landbased facility","Grieg Seafood BC Ltd.","Gold River Hatchery","49.68538","-126.12353"
"1689","Landbased facility","Mowi Canada West Inc.","Ocean Falls","52.34800","-127.69000"
"1692","Landbased facility","Mowi Canada West Inc.","Tsulton Hatchery","50.52100","-126.88100"
