# Section: Map of enhancement aquaculture in British Columbia
# Caption: Aquaculture enhancement facilities in British Columbia
# Rows: 125
"Facility reference number","Licence type","Licence holder","Operating group","Facility common name","Latitude","Longitude"
"6693","Recreational Stocking","FFSBC","n/a","Clearwater Trout Hatchery","51.64640","-120.06270"
"6694","Recreational Stocking","FFSBC","n/a","Fraser Valley Trout Hatchery","49.01762","-122.27415"
"6695","Recreational Stocking","FFSBC","n/a","Kootenay Trout Hatchery","49.47270","-115.46020"
"6696","Recreational Stocking","FFSBC","n/a","Vancouver Island Trout Hatchery","48.77473","-123.68623"
"6697","Recreational Stocking","FFSBC","n/a","Summerland Trout Hatchery","49.60260","-119.65320"
"6873","Recreational Stocking","FFSBC","n/a","Nechako White Sturgeon Conservation Centre","54.02338","-124.00903"
"7313","Recreational Stocking","Okanagan Nation Aquatic Enterprises Ltd.","n/a","Lot 49-1","49.47767","-119.60825"
"8911","SEP Major Facility","Watershed Enhancement Manager, Big Qualicum River Salmon Hatchery","n/a","Big Qualicum River Salmon Hatchery","49.38195","-124.64393"
"8912","SEP Major Facility","Watershed Enhancement Manager, Capilano River Salmon Hatchery","n/a","Capilano River Salmon Hatchery","49.35983","-123.11132"
"8914","SEP Major Facility","Watershed Enhancement Manager, Chehalis River Salmon Hatchery","n/a","Chehalis River Salmon Hatchery","49.29729","-121.93537"
"8915","SEP Major Facility","Watershed Enhancement Manager, Chilliwack River Salmon Hatchery","n/a","Chilliwack River Salmon Hatchery","49.07935","-121.69218"
"8918","SEP Major Facility","Watershed Enhancement Manager, Conuma River Salmon Hatchery","n/a","Conuma River Salmon Hatchery","49.79979","-126.42148"
"8922","SEP Major Facility","Watershed Enhancement Manager, Inch Creek Salmon Hatchery","n/a","Inch Creek Salmon Hatchery","49.17545","-122.16026"
"8923","SEP Major Facility","Watershed Enhancement Manager, Inch Creek Sockeye Salmon Hatchery","n/a","Inch Creek Sockeye Salmon Hatchery","49.17545","-122.16026"
"8924","SEP Major Facility","Watershed Enhancement Manager, Kitimat River Salmon Hatchery","n/a","Kitimat River Salmon Hatchery","54.03982","-128.68170"
"8925","SEP Major Facility","Watershed Enhancement Manager, Little Qualicum River Salmon Hatchery","n/a","Little Qualicum River Salmon Hatchery","49.34981","-124.51140"
"8927","SEP Major Facility","Watershed Enhancement Manager, Nitinat River Salmon Hatchery","n/a","Nitinat River Salmon Hatchery","48.85980","-124.66138"
"8930","SEP Major Facility","Watershed Enhancement Manager, Puntledge River Salmon Hatchery","n/a","Puntledge River Salmon Hatchery","49.68178","-125.03897"
"8932","SEP Major Facility","Watershed Enhancement Manager, Quinsam River Salmon Hatchery","n/a","Quinsam River Salmon Hatchery","50.01940","-125.30260"
"8935","SEP Major Facility","Watershed Enhancement Manager, Robertson Creek Salmon Hatchery","n/a","Robertson Creek Salmon Hatchery","49.33981","-124.98142"
"8936","SEP Major Facility","Watershed Enhancement Manager, Shuswap River Salmon Hatchery","n/a","Shuswap River Salmon Hatchery","50.30058","-118.81771"
"8938","SEP Major Facility","Watershed Enhancement Manager, Snootli Creek Salmon Hatchery","n/a","Snootli Creek Salmon Hatchery","52.37710","-126.60798"
"8940","SEP Major Facility","Watershed Enhancement Manager, Spius Creek Salmon Hatchery","n/a","Spius Creek Salmon Hatchery","50.14140","-121.02513"
"8943","SEP Major Facility","Watershed Enhancement Manager, Tenderfoot Creek Salmon Hatchery","n/a","Tenderfoot Creek Salmon Hatchery","49.82985","-123.15134"
"8987","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","4Mile Creek Enhancement Society","4 Mile Creek Hatchery Project","48.59000","-124.32800"
"8988","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","4Mile Creek Enhancement Society","San Juan River Seapen Project","48.55000","-124.40000"
"8989","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Sayward Fish & Game Club","Sayward Project","50.23000","-125.75000"
"8990","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Mainland Enhancement Salmonid Species Society","Scott Cove Creek Project","50.76547","-126.45509"
"8991","SEP Community Involvement","Community Advisor, Mission/Abbotsford to past Hope;","S Side Fraser to Abbotsford	Serpentine Enhancement Society","Serpentine River Project","49.18683","-122.77731"
"8992","SEP Community Involvement","Community Advisor, Burrard Inlet, Indian Arm, Vancouver","Seymour Salmonid Society","Seymour River Project","49.43983","-122.96132"
"8993","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","Shawnigan Lake School","Shawnigan Lake School - Mark Hobson Hatchery","48.65000","-123.61700"
"8994","SEP Community Involvement","Community Advisor, Smithers and Northwestern BC","Skeena Meadows Wildlife Preserve","Skeena Meadows Hatchery","55.18499","-127.74055"
"8995","SEP Community Involvement","Community Advisor, Sunshine Coast and Howe Snd, Port Mellon to Desolation Snd","Tla'amin Salmon Hatchery","Sliammon River Project","49.89983","-124.60142"
"8996","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","Sooke Salmon Enhancement Society","Sooke River - Jack Brooks Hatchery","48.39980","-123.75131"
"8997","SEP Community Involvement","Community Advisor, Central W Cst of Vancouver Is: E to Nanaimo, S to Chemainus","Sproat Lake Enhancement (AVEA)","Sproat Lake Project","49.26000","-125.02000"
"8998","SEP Community Involvement","Community Advisor, Central Interior: North of 100 Mile House, and NE B.C.","Spruce City Wildlife Association","Spruce City","53.91893","-122.72749"
"8999","SEP Community Involvement","Community Advisor, E Coast Vancouver Is: Parksville to Oyster R, Gold R, Tahsis","Tahsis Salmon Enhancement Society","Tahsis Hatchery","49.92980","-126.65150"
"9000","SEP Community Involvement","Senior Restoration Biologist, Yukon","B. Mercer & Associates","Tatsamenie Lake Project","58.37974","-132.33180"
"9001","SEP Community Involvement","Community Advisor, West Vancouver and Howe Sound","Bowen Island Fish and Wildlife Club","Terminal Creek Project","49.38982","-123.35133"
"9002","SEP Community Involvement","Community Advisor, Central Interior: Boston Bar to 100 Mile House","Simpcw First Nation","Thompson River North Project","51.45594","-120.14369"
"9003","SEP Community Involvement","Community Advisor, Central W Cst of Vancouver Is: E to Nanaimo, S to Chemainus","Thornton Creek Enhancement Society","Thornton Creek Project","48.96980","-125.55142"
"9004","SEP Community Involvement","Community Advisor, Smithers and Northwestern BC","Toboggan Creek Enhancement Society","Toboggan Creek Project","54.92996","-127.29882"
"9005","SEP Community Involvement","Community Advisor, Smithers and Northwestern BC","A Rocha Canada","A Rocha Project","54.39611","-126.65444"
"9006","SEP Community Involvement","Community Advisor, Central W Cst of Vancouver Is: E to Nanaimo, S to Chemainus","Alberni Valley Enhancement Association","Alberni Project","49.28400","-124.80120"
"9007","SEP Community Involvement","Community Advisor, Haida Gwaii (SEPCAA)","Sandspit Salmon Enhancement Society","Alliford Bay Project","53.22674","-131.93107"
"9008","SEP Community Involvement","Community Advisor, North Side Fraser River, Burnaby to Mission","ALLCO Hatchery c/o Fraser Regional Corrections Centre","Alouette River Project","49.24234","-122.53420"
"9009","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Bear Creek Salmonid Enhancement Group","Bear (Mills) Creek Project","50.58333","-127.11666"
"9010","SEP Community Involvement","Community Advisor, North Side Fraser River, Burnaby to Mission","Sapperton Fish & Game Club","Brunette River Project","49.22792","-122.88319"
"9011","SEP Community Involvements","Community Advisor, Sunshine Coast and Howe Snd, Port Mellon to Desolation Snd","Sunshine Coast Salmonid Enhancement Society","Chapman Creek Project","49.44983","-123.72137"
"9012","SEP Community Involvement","Community Advisor, West Vancouver and Howe Sound","North Vancouver School District","Cheakamus Centre","49.81984","-123.15134"
"9013","SEP Community Involvement","Community Advisor, Mission/Abbotsford to past Hope; S Side Fraser to Abbotsford","Skowkale First Nation","Chilliwack Project","49.15312","-121.95501"
"9014","SEP Community Involvement","Community Advisor, Central W Cst of Vancouver Is: E to Nanaimo, S to Chemainus","Tla-o-qui-aht First Nation","Clayoquot Project","49.11981","-125.65144"
"9015","SEP Community Involvement","Community Advisor, E Coast Vancouver Is: Parksville to Oyster R, Gold R, Tahsis","Courtenay & District Fish & Game Protective Association","Courtenay (Trent River) Project","49.63982","-124.95142"
"9016","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","Cowichan Lake Salmonid Enhancement Society","Cowichan Lake Project","48.81800","-124.05700"
"9017","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","Cowichan Tribes","Cowichan River Project","48.76981","-123.66133"
"9018","SEP Community Involvement","Community Advisor, Central Interior: Boston Bar to 100 Mile House","Skeetchestn Indian Band","Deadman R","50.84251","-120.95529"
"9019","SEP Community Involvement","Community Advisor, Northern Interior and North Coast","Northwest Watershed Enhancement Society","Eby Street Project","54.54551","-128.60476"
"9020","SEP Community Involvement","Community Advisor, Central Coast: Cape Caution to Caamano Sd, E to Tatla Lake","Heiltsuk Band Council","Emily Lake Project","52.38330","-128.01670"
"9021","SEP Community Involvement","Community Advisor, E Coast Vancouver Is: Parksville to Oyster R, Gold R, Tahsis","Community Fisheries Development Centre","Englishman River Hatchery","49.28000","-125.05000"
"9022","SEP Community Involvement","Community Advisor, E Coast Vancouver Is: Parksville to Oyster R, Gold R, Tahsis","Fanny Bay Salmonid Enhancement Society","Fanny Bay Hatchery /GSVI","49.44182","-124.85040"
"9024","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Gillard Pass Fisheries Association","Gillard Pass Project","50.38776","-125.17983"
"9025","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","Goldstream Volunteer Salmon Enhancement Association","Goldstream River - Howard English Hatchery","48.45981","-123.55131"
"9026","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Namgis First Nation","Gwa'ni Project","50.55982","-127.00155"
"9027","SEP Community Involvement","Community Advisor, Northern Interior and North Coast","Hartley Bay Village Council","Hartley Bay Creek Project","53.42978","-129.25171"
"9028","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Western Forest Products","Holberg-Cordy Creek Project","50.65981","-128.01160"
"9030","SEP Community Involvement","Community Advisor, North Side Fraser River, Burnaby to Mission","Hoy/Scott Creek Watershed Society","Hoy Creek Project","49.28218","-122.80304"
"9032","SEP Community Involvement","Community Advisor, N Vancouver Island; Mainland, Knight Inlet to Cape Caution","Port McNeill Chinook Club","Hyde Creek (JNST) Project","50.52279","-126.87893"
"9033","SEP Community Involvement","Community Advisor, North Side Fraser River, Burnaby to Mission","Hyde Creek Watershed Society","Hyde Creek (LWFR) Project","49.27853","-122.75974"
"9034","SEP Community Involvement","Community Advisor, Lower Vancouver Is, S Gulf Islands and Cowichan R Watershed","Juan de Fuca Salmon Restoration Society","Juan de Fuca Project","48.41444","-123.70639"
"9035","SEP Community Involvement","Community Advisor, North Side Fraser River, Burnaby to Mission","Bell-Irving Hatchery at Kanaka Creek","Kanaka Creek Project","49.21209","-122.50839"
"9036","SEP Community Involvement","Community Advisor, Central Interior: Boston Bar to 100 Mile House","Kingfisher Interpretive Centre Society","Kingfisher Creek Project","50.60991","-118.74115"
"9037","SEP Community Involvement","Community Advisor, Central Coast: Cape Caution to Caamano Sd, E to Tatla Lake","Kitasoo First Nations","Kitasoo Creek Project","52.59167","-128.52389"
"9038","SEP Community Involvement","Stock Assessment Biologist, Stock Assessment Division, Science Branch","Terrace Salmonid Enhancement Society","Kitsumkalum Chinook Project","54.56888","-128.65497"
