company,id_number,location,latitude,longitude,species,maximal_allowed_biomass,valid_until,type
"Arctic Sea Farm hf.","FE-1174","Ísafjarðardjúp",66.1667,-23,"",8000,"29. February 2040","Marine"
"Arctic Sea Farm hf.","FE-1114","Önundarfjörður",66.15,-23.25,"",200,"31. December 2024","Marine"
"Arctic Sea Farm hf.","FE-1161","Dýrafjörður",65.95,-23.85,"",10000,"7. May 2037","Marine"
"Arctic Sea Farm hf.","FE-1159","Arnarfjörður",65.75,-23.6667,"",4000,"21. March 2038","Marine"
"Arctic Sea Farm hf.","FE-1219","Patreksfjarðarflói",65.6833,-24.1667,"",7800,"21. March 2040","Marine"
"Arnarlax hf.","FE-1105","Arnarfjörður",65.75,-23.6667,"Char, Salmon",10000,"6. May 2026","Marine"
"Arnarlax hf.","FE-1144","Patreksfjarðarflói",65.6833,-24.1667,"Char, Salmon",12200,"28. August 2029","Marine"
"Arnarlax hf.","FE-1204","Arnarfjörður",65.75,-23.6667,"Char, Salmon",1500,"19. October 2038","Marine"
"Arnarlax hf.","FE-1178","Ísafjarðardjúp",66.1667,-23,"Char, Salmon",10000,"13. June 2040","Marine"
"Háafell ehf.","FE-1171","Ísafjarðardjúp",66.1667,-23,"Salmon, Rainbow Trout",6800,"25. June 2037","Marine"
"Hábrún ehf.","FE-1140","Ísafjarðardjúp",66.1667,-23,"",700,"10. December 2036","Marine"
"Ís 47 ehf.","FE-1109","Önundarfjörður",66.15,-23.25,"",1000,"8. January 2037","Marine"
"Kaldvík hf.","FE-1138","Berufjörður",64.6803,-14.3042,"Salmon",9800,"21. April 2029","Marine"
"Kaldvík hf.","FE-1139","Fáskrúðsfjörður",64.9293,-14.0121,"Salmon",11000,"21. April 2029","Marine"
"Kaldvík hf.","FE-1180","Reyðarfjörður",65.07,-14.02,"Salmon",10000,"24. June 2037","Marine"
"Kaldvík hf.","FE-1133","Stöðvarfjörður",64.8294,-13.8914,"Salmon",7000,"21. March 2038","Marine"
"Kaldvík hf.","FE-1195","Reyðarfjörður",65.07,-14.02,"Salmon",6000,"2. June 2038","Marine"
"Arctic Smolt hf.","FE-1137","Norður-Botni II",66.2,-23.1,"Salmon, Rainbow Trout",1000,"20. February 2029","Land"
"Arnarlax hf.","FE-1179","",,,"Char, Salmon",900,"12. July 2037","Land"
"Benchmark Genetics Iceland hf.","FE-1175","Kirkjuvogi",63.85,-20,"Salmon",90,"12. May 2037","Land"
"Benchmark Genetics Iceland hf.","FE-1181","Vogavík",64.15,-21.85,"Salmon",500,"20. December 2037","Land"
"Benchmark Genetics Iceland hf.","FE-1182","Kalmanstjörn  Höfnum",63.87,-22.67,"Salmon",600,"24. November 2038","Land"
"Eldisstöðin Ísþór hf.","FE-1162","",,,"Salmon, Rainbow Trout",1800,"12. May 2037","Land"
"First Water hf.","FE-1185","Laxabraut 21-25, Þorlákshöfn",64.1299,-21.8659,"Char, Salmon, Brown Trout",3450,"23. November 2037","Land"
"Fjallalax ehf.","FE-1186","Hallkellshólum, 801 Selfoss,",63.93,-21,"Char, Salmon",100,"25. January 2038","Land"
"Geo Salmo hf.","FE-1223","Laxabraut 45, Þorlákshöfn",64.1299,-21.8659,"Salmon",12160,"20. March 2041","Land"
"Háafell ehf.","FE-1146","Nauteyri, Hólmavík",65.697,-21.699,"Salmon, Rainbow Trout",800,"22. November 2035","Land"
"Hafrannsóknastofnunin tilreldi","FE-1160","Stað, Grindavík",63.84,-22.433,"Various Species",21,"12. February 2037","Land"
"Hólaskóli - Háskólinn á Hólum","FE-1156","Verið vísindagarðar,",64.086,-21.94,"Various Species",14,"4. December 2036","Land"
"Kaldvík hf.","FE-1189","Lónin Kelduhverfi,",66,-16.8,"Salmon",600,"2. November 2038","Land"
"Laxey ehf.","FE-1211","Vestmannaeyjar,",63.442,-20.2694,"Salmon, Rainbow Trout",199,"26. June 2039","Land"
"Laxey ehf.","FE-1212","Viðlagafjara,",63.83,-22.45,"Salmon, Rainbow Trout",7000,"21. June 2040","Land"
"Matorka ehf.","FE-1153","Húsatóftir i5, Grindavík,",63.823,-22.41,"Char, Salmon, Rainbow Trout",6000,"19. October 2036","Land"
"Matorka ehf.","FE-1170","Húsatóftir i6, Grindavík,",63.8235,-22.4095,"Char, Salmon, Rainbow Trout",190,"4. May 2037","Land"
"N-Lax ehf.","FE-1216","Laxamýri,",65.5,-14,"Char, Salmon, Rainbow Trout",50,"18. August 2039","Land"
"Samherji fiskeldi ehf.","FE-1141","Stað, Grindavík (duplicate),",63.84,-22.433,"Char, Salmon, Rainbow Trout",3000,"4. December 2035","Land"
"Samherji fiskeldi ehf.","FE-1142","Núpsmýri, Öxarfirði,",66.09,-14.35,"Char, Salmon, Rainbow Trout",3000,"25. June 2036","Land"
"Samherji fiskeldi ehf.","FE-1154","Stóru-Vatnsleysa, Vogum,",63.88,-22.72,"Char, Salmon, Rainbow Trout",1600,"29. September 2036","Land"
"Thor landeldi ehf.","FE-1222","Laxabraut, Þorlákshöfn,",64.1299,-21.8659,"Char, Salmon, Rainbow Trout",13150,"27. January 2041","Land"
"Tungusilungur ehf.","FE-1221","Þórsberg / Mjópartur / Keldeyri við Tálknafjörð,",65.25,-23.8,"Char, Rainbow Trout",200,"29. April 2040","Land"
