site id,name,site status,approval date,approval type,site capacity,temporary_capacity,capacity_unit_type,placement,water_type,site_details,county,municipality_id,municipality,production_area_code,latitude,longitude,symbol,species,company,site_url,external_site_url,permits,purpose,production_method
37277,HESTØYDRAGET,KLARERT,19/04/2017 22:00,PERMANENT,130,130,DA,SJØ,Marine,37277 HESTØYDRAGET,NORDLAND,1820,ALSTAHAUG,,65.906717,12.258333,"Bløtdyr, krepsdyr, pigghuder",Fjærerur,"AAKERØY, ROLV JOHAN",https://sikker.fiskeridir.no/aquareg/web/sites/37277,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/37277,N-AH-0347,KOMMERSIELL,Akvakulturdyr til konsum
14746,AARSAND,KLARERT,04/03/2002 23:00,PERMANENT,10,10,DA,SJØ,Marine,14746 AARSAND,NORDLAND,1811,BINDAL,,65.045867,12.156933,"Bløtdyr, krepsdyr, pigghuder",Blåskjell,"AARSAND, ARILD",https://sikker.fiskeridir.no/aquareg/web/sites/14746,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/14746,N-BL-0321,KOMMERSIELL,Akvakulturdyr til konsum
14747,HAGASANDVIKA,KLARERT,04/03/2002 23:00,PERMANENT,10,10,DA,SJØ,Marine,14747 HAGASANDVIKA,NORDLAND,1811,BINDAL,,65.046667,12.1407,"Bløtdyr, krepsdyr, pigghuder",Blåskjell,"AARSAND, ARILD",https://sikker.fiskeridir.no/aquareg/web/sites/14747,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/14747,N-BL-0322,KOMMERSIELL,Akvakulturdyr til konsum
14748,JUPVIK,KLARERT,04/03/2002 23:00,PERMANENT,10,10,DA,SJØ,Marine,14748 JUPVIK,NORDLAND,1811,BINDAL,,65.04655,12.127867,"Bløtdyr, krepsdyr, pigghuder",Blåskjell,"AARSAND, ARILD",https://sikker.fiskeridir.no/aquareg/web/sites/14748,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/14748,N-BL-0323,KOMMERSIELL,Akvakulturdyr til konsum
45177,MONGSTAD,KLARERT,21/05/2023 22:00,PERMANENT,29897,29897,TN,LAND,Marine,45177 MONGSTAD,VESTLAND,4631,ALVER,,60.797117,5.057333,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",ABP AQUA MONGSTAD AS,https://sikker.fiskeridir.no/aquareg/web/sites/45177,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/45177,"VL-AL-0001, VL-AL-0002",KOMMERSIELL,"Matfisk, Settefisk"
23615,FARØY,KLARERT,16/01/2005 23:00,PERMANENT,200000,200000,STK,LAND,Marine,23615 FARØY,AGDER,4206,FARSUND,,58.094235,6.808219,"Bløtdyr, krepsdyr, pigghuder",Hummer,AEGIR HAVBRUK AS,https://sikker.fiskeridir.no/aquareg/web/sites/23615,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/23615,VA-FS-0317,KOMMERSIELL,Akvakulturdyr i tidlige livsstadier
23676,YDSTESTEINEN,KLARERT,25/01/2005 23:00,MIDLERTIDIG,1780,1780,DA,SJØ,Marine,23676 YDSTESTEINEN,AGDER,4206,FARSUND,,58.020983,6.879133,"Bløtdyr, krepsdyr, pigghuder",Hummer,AEGIR HAVBRUK AS,https://sikker.fiskeridir.no/aquareg/web/sites/23676,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/23676,VA-FS-0801,KOMMERSIELL,Havbeite
12084,ÆNES,KLARERT,18/03/1998 23:00,PERMANENT,0,0,STK,LAND,Freshwater/Marine,12084 ÆNES,VESTLAND,4617,KVINNHERAD,,60.089167,6.11,"Settefisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",ÆNES INKUBATOR AS,https://sikker.fiskeridir.no/aquareg/web/sites/12084,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12084,H-K-0066,KOMMERSIELL,Settefisk
10052,KLUBBEOSEN I,KLARERT,09/08/1992 22:00,PERMANENT,7,7,DA,SJØ,Marine,10052 KLUBBEOSEN I,VESTLAND,4613,BØMLO,,59.831133,5.249333,"Bløtdyr, krepsdyr, pigghuder",Østers,AGA MUSLING EIVIND BERGTUN & SIGURD MONSVIK,https://sikker.fiskeridir.no/aquareg/web/sites/10052,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/10052,H-B-0357,KOMMERSIELL,Akvakulturdyr til konsum
45101,TVEDESTRAND VGS,KLARERT,06/10/2021 22:00,PERMANENT,1,1,TN,LAND,Freshwater,45101 TVEDESTRAND VGS,AGDER,4213,TVEDESTRAND,,58.6149,8.922167,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",AGDER FYLKESKOMMUNE,https://sikker.fiskeridir.no/aquareg/web/sites/45101,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/45101,AG-T-0001,KOMMERSIELL,Matfisk
11857,BUKSEVIKA,KLARERT,01/06/1999 22:00,PERMANENT,4680,4680,TN,SJØ,Marine,11857 BUKSEVIKA,AGDER,4207,FLEKKEFJORD,1,58.2079,6.636067,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AGDER FYLKESKOMMUNE, MOWI SEAWATER NORWAY AS",https://sikker.fiskeridir.no/aquareg/web/sites/11857,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/11857,"VA-F-0023, R-V-0016, R-V-0017, VA-FS-0010, VA-FS-0011, R-HM-0005, R-V-0018, VA-FS-0014, AG-F-0003, R-HM-0007","KOMMERSIELL, UNDERVISNING",Matfisk
11861,SKIPNINGSDALEN,KLARERT,14/02/1999 23:00,PERMANENT,6240,6240,TN,SJØ,Marine,11861 SKIPNINGSDALEN,AGDER,4207,FLEKKEFJORD,1,58.241483,6.5958,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AGDER FYLKESKOMMUNE, MOWI SEAWATER NORWAY AS",https://sikker.fiskeridir.no/aquareg/web/sites/11861,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/11861,"R-V-0016, R-V-0017, VA-F-0004, VA-F-0005, R-HM-0005, R-V-0018, AG-F-0003, VA-F-0003, R-HM-0007, VA-LD-0010, AG-F-0005","KOMMERSIELL, UNDERVISNING",Matfisk
11426,STORELVA I BERG,KLARERT,08/03/2017 23:00,PERMANENT,5000000,5000000,STK,LAND,Freshwater,11426 STORELVA I BERG,TROMS,5530,SENJA,,69.440399,17.455093,"Settefisk laks, ørret, regnbueørret","Laks, Regnbueørret, Rognkjeks, Ørret",AKVAFARM AS,https://sikker.fiskeridir.no/aquareg/web/sites/11426,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/11426,"T-BG-0004, T-BG-0009",KOMMERSIELL,Settefisk
13946,SØRFJORDEN,KLARERT,28/11/1995 23:00,PERMANENT,0,0,STK,LAND,Freshwater,13946 SØRFJORDEN,TROMS,5528,DYRØY,,68.9579,17.561167,"Settefisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",AKVAFARM AS,https://sikker.fiskeridir.no/aquareg/web/sites/13946,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/13946,T-D-0003,KOMMERSIELL,Settefisk
38037,ANDALSVÅGEN I,KLARERT,07/11/2017 23:00,PERMANENT,780,780,TN,SJØ,Marine,38037 ANDALSVÅGEN I,NORDLAND,1816,VEVELSTAD,8,65.5826,12.4032,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",AKVAFUTURE AS,https://sikker.fiskeridir.no/aquareg/web/sites/38037,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/38037,"N-VS-0014, N-VS-0013, N-VS-0015",KOMMERSIELL,Matfisk
35737,SÆTEROSEN,KLARERT,14/12/2015 23:00,PERMANENT,2340,2340,TN,SJØ,Marine,35737 SÆTEROSEN,NORDLAND,1813,BRØNNØY,8,65.441333,12.44435,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AKVAFUTURE AS, MOWI SEAWATER NORWAY AS",https://sikker.fiskeridir.no/aquareg/web/sites/35737,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/35737,"N-VS-0014, N-BR-0004, N-VS-0015, N-BR-0003, N-BR-0017, N-VS-0013, N-BR-0002",KOMMERSIELL,Matfisk
38057,HAMNSUNDET I,KLARERT,21/11/2017 23:00,PERMANENT,2340,2340,TN,SJØ,Marine,38057 HAMNSUNDET I,NORDLAND,1816,VEVELSTAD,8,65.684967,12.339483,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AKVAFUTURE AS, MOWI SEAWATER NORWAY AS",https://sikker.fiskeridir.no/aquareg/web/sites/38057,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/38057,"N-VS-0014, N-BR-0004, N-VS-0015, N-BR-0003, N-VS-0013, N-BR-0002",KOMMERSIELL,Matfisk
11410,LITLEØYA,KLARERT,28/04/2009 22:00,PERMANENT,1280,1280,TN,SJØ,Marine,11410 LITLEØYA,NORDLAND,1870,SORTLAND,9,68.611667,15.381083,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AKVAKULTUR I VESTERÅLEN AS, NORDLAKS HAVBRUK AS, NORDLAND FYLKESKOMMUNE",https://sikker.fiskeridir.no/aquareg/web/sites/11410,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/11410,"N-H-0032, N-V-0005, N-H-0015, N-V-0010, N-V-0033, N-SO-0026, N-H-0001, N-V-0001, N-H-0004","KOMMERSIELL, UNDERVISNING, VISNING",Matfisk
32697,STEILO,KLARERT,09/04/2012 22:00,PERMANENT,3900,3900,TN,SJØ,Marine,32697 STEILO,NORDLAND,1866,HADSEL,9,68.51185,14.951633,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AKVAKULTUR I VESTERÅLEN AS, NORDLAKS HAVBRUK AS, NORDLAND FYLKESKOMMUNE",https://sikker.fiskeridir.no/aquareg/web/sites/32697,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/32697,"N-H-0032, N-V-0005, N-H-0015, N-V-0058, N-SO-0026, N-VR-0001, N-V-0001","KOMMERSIELL, UNDERVISNING, VISNING",Matfisk
33117,DJUPVIK,KLARERT,08/10/2012 22:00,PERMANENT,1280,1280,TN,SJØ,Marine,33117 DJUPVIK,NORDLAND,1870,SORTLAND,9,68.60365,15.34815,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","AKVAKULTUR I VESTERÅLEN AS, NORDLAKS HAVBRUK AS, NORDLAND FYLKESKOMMUNE",https://sikker.fiskeridir.no/aquareg/web/sites/33117,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/33117,"N-H-0032, N-V-0005, N-H-0015, N-V-0010, N-V-0033, N-SO-0026, N-H-0001, N-V-0001, N-H-0004","KOMMERSIELL, UNDERVISNING, VISNING",Matfisk
